X1,LexikalischerFrame,KE1,KEE,KE2,Lesart,Schwierigkeit,Koerzion,No,Date,Genre,Bibl,ContextBefore,Hit,ContextAfter
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Path,neutral,x,1,319,37987,Belletristik,"Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 221","Wenn es so weitergoß, drohte der gesamte Hang abzurutschen und den Garten in eine Schlammlawine zu verwandeln.","Ein immer mächtiger werdender Strom von Erde schob sich durch das Tal, fraß an den Rändern des Grundstücks und dem vor der Sonne geretteten Grün.",Doch Jorge setzte sich nur langsam in Bewegung.
zwängen,Manipulation,Manipulation.Agent,Motion.Theme+Manipulation.Entity,Motion.Path,means,a,6,325,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 11",Er war dreiundzwanzig.,"Er kaute sein Sandwich und zwängte sich durch den mit Möbeln, Kisten, Haushaltsgeräten, Büchern, Bilderrahmen, Nippes und anderem Krempel vollgepferchten Laden.","Ein paarmal hatte er hier schon etwas für Tobias gefunden, den Besitzer des Esquina, wo David arbeitete."
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,327,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 47","Weshalb sie dennoch schon am nächsten Abend beinahe wieder hingegangen wäre, lag an ihrer Mutter Myrtha.","Marie saß seit dem späten Nachmittag an ihrem kleinen Schreibtisch in ihrem Zimmer und kämpfte sich durch Theodor Fontanes Der Stechlin, über den sie eine Arbeit schreiben mußte.","Als sie kurz nach vier von der Schule heimgekommen war, war Myrtha noch in ihrem Zimmer gewesen."
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,328,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 52","Freitag, und dazu noch die zweitletzte Woche vor Weihnachten.","David kämpfte sich durch das überfüllte Lokal und reduzierte seinen Wortschatz auf: Moment, gleich, Sekunde, bin schon da und sofort.","Von weitem mußte er mit ansehen, wie gelöst Marie in Ralphs Gegenwart wurde."
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,330,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 71","Sie fand eine CD, die sie nicht an Weihnachten erinnerte, und legte sich auf ihren Futon.","Sie kämpfte sich ein paar Seiten durch den Stechlin und griff auf der Suche nach dem erstbesten Vorwand, abzuschweifen, und auch, weil er sie heute wieder so erwartungsvoll angeschaut hatte, nach Davids Manuskript.","Es lag noch immer auf dem Regal, wo sie es vor vier Tagen hingelegt hatte."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Path,manner,b,1,333,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 344","David hoffte, er würde nicht gezwungen sein, hier wieder Kellner zu werden.","Er drängte sich so weit durch die Leute, daß er Ralphs Stammplatz sehen konnte.","Alle waren sie da, als wäre die Zeit stehengeblieben."
schlagen,Impact,Impact.Impactor,Motion.Theme,Motion.Path+Impact.Impactee,means,a,5,335,37987,Belletristik,"Widmer, Urs: Das Buch des Vaters, Zürich: Diogenes 2004, S. 153",»Was ist mit den Steuerbehörden?«,"– Der Vater schlug sich durch die Haus- und Gartentür, die danach, und für Jahre, schräg in den Angeln hing.",Es war dunkel.
schlängeln,Motion,Motion.Theme,NA,Motion.Path,manner,x,1,336,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 21","Es war ein langgestrecktes Dorf, anderthalb Stunden Fußweg von Schwäbisch Gmünd entfernt an der Rems gelegen.","Der Fluß schlängelt sich durch Wiesen, am Rande der Auen erheben sich tannenbewachsene Hügel.","Einst hatte hier eine wichtige Handelsroute vorbeigeführt, deshalb war es eine burgenbewehrte Gegend."
ergießen,Mass_motion,Mass_motion.Mass_theme,Mass_motion.Mass_theme,Mass_motion.Path,neutral,x,1,343,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 164","Besser noch als Zeitungen sind die Besuche, um die er immer dringlicher bittet- Im März schreibt er an Reinwald: Ihr vorgestriger Besuch hat eine ganz herrliche Wirkung auf mich gehabt.","Ich fühle mich doppelt wieder, und wärmeres Leben ergießt sich durch alle meine Nerven.","Meine Lage in dieser Einsamkeit hat meiner Seele das Schicksal eines stehenden Wassers zugezogen, das in Fäulung ginge, wenn es nicht je und je in eine kleine Wallung gebracht würde."
zwängen,Manipulation,Manipulation.Agent,Motion.Theme+Manipulation.Entity,Motion.Path,means,a,6,360,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 147",13.,"Joas zwängte sich durch die Tür, kaum hatte Liron sie einen Spalt weit geöffnet.","»Sie ist es nicht!«, schrie er, und dabei zitterte er in seinen nassen Kleidern vor Kälte."
bewegen,Motion,Motion.Theme,NA,Motion.Path,neutral,x,1,377,38718,Belletristik,"Arjouni, Jakob: Chez Max, Zürich: Diogenes 2006, S. 204",Die zeitliche Nähe zwischen seinem Besuch im ›Chez Max‹ und dem Fund seiner Überreste hätte zumindest Fragen aufgeworfen.,"Solange die Tüten unentdeckt blieben, bewegte sich Chen für den Computer des Lokalisierungsbüros durch das achte Arrondissement – wenn auch auf merkwürdigen Wegen.",In der Nähe von Natalias Wohnung hatte ich seinen Sender einem vor einem Lebensmittelgeschäft angebundenen Hund ans Halsband geheftet.
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Path,manner,b,7,378,38718,Belletristik,"Düffel, John von: Vom Wasser, München: dtv 2006, S. 39","An keinem Ende des Tunnels, weder vor noch hinter uns, war Licht.","Wir tasteten uns langsam durch das Dunkel, in dem es kein Ziel, keine Richtung mehr gab, nur den Gestank von totem Wasser und das schwache Tröpfeln der Rinnsale, unterbrochen vom platschenden Schritt unserer unsichtbaren Füße und dem Stöhnen unseres beklommenen Atems.","Kaum zu glauben, daß wenige Meter über uns die Welt weiter so war, wie wir sie kannten, daß da draußen, wenige Meter über uns, das Leben unbekümmert weiterging, voller Licht und Luft und Auslauf, während wir hier unten in klammer Dunkelheit feststeckten und sich die Enge der Tunnelröhre um uns schloß."
ducken,Body_movement,Body_movement.Agent,NA,Body_movement.(Path),manner,b,1,380,38718,Belletristik,"Düffel, John von: Vom Wasser, München: dtv 2006, S. 156","Und wie eine Welle verrauschte sie auch, die Erinnerung an zu Hause, an das nicht abzuschüttelnde Lächeln, und hinterließ einen salzigen Schleier von Traurigkeit.","Mit einem Ruck stand sie auf, duckte sich durch den schmalen Gang, verließ die Speisekammer und verschloß sie.","Dann griff sie sich kurzerhand die Fische vom Rand der Spüle und tat, was bei ihr zu Hause als eine Sünde galt: Sie setzte das Messer unmittelbar hinter den Kiemenklappen an und trennte, um Haaresbreite über die Bauchgräten hinwegschneidend, einen fingerdicken Streiten grätenloses Fleisch ab, der bis hinunter zur Schwanzflosse reichte."
wühlen,Scouring,Scouring.Searcher,Motion.Theme,Motion.Path+Scouring.Ground,means,b,5,382,38718,Belletristik,"Düffel, John von: Vom Wasser, München: dtv 2006, S. 191",Es wurde eine lange Nacht.,"Unermüdlich wühlten sich ihre geschmeidigen Finger durch das schwarze, schattenhafte Fleisch der erschlagenen Forellen, während das Gewitter immer wieder aufglomm und verlosch und schließlich in schmutziger, schummriger Dunkelheit unterging.","Wie sein eigener Schatten lehnte der Krüppel schweigend an der Wand, lauschte dem Rascheln und den gleitenden Bewegungen ihres so nahen Körpers, schaute auf die schwarze Silhouette vor ihm, streifte mit seinen Blicken ihre Nähe, sah, erinnerte und träumte ihr Gesicht in dieser von Traum, Erinnerung und Wirklichkeit verwirrten Nacht."
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Path,neutral,x,1,383,38718,Belletristik,"Düffel, John von: Vom Wasser, München: dtv 2006, S. 199","Es war an unserm letzten Abend am Missouri, als wir auf einer dieser Inselgleichen Sandbänke an Land gingen und auf der Suche nach etwas Feuerholz eine vielleicht dreißig Meter lange Lagune entdeckten.","Keilförmige Wellenkämme schoben sich durch das sonnenwarme, knietiefe Wasser.","Es dauerte eine Weile, bis wir erkannten, daß sich ein ganzer Schwarm von gewaltigen Karpfen in das flache Wasser verirrt hatte, wo sie sich träge von der Sonne hatten bescheinen lassen, während der Rückstrom in den Fluß bis auf wenige Rinnsale verdunstet war."
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Path,manner,b,7,385,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 49","Mit dem Gewehr auf dem Rücken hatte er Mühe, sich zwischen Sandsäcken hindurchzuzwängen und pendelnde Holzbrücken zu überwinden.","Er trat auf Treppen, die unter Getöse nachgaben, durchquerte abschüssige Räume, tastete sich durch lichtlose Gänge.","Wenn er nicht gerade einen entsprechenden Mechanismus auslöste, war alles still."
bewegen,Motion,Motion.Theme,NA,Motion.Path,neutral,cx,1,388,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 134","Die Füße, die im Stiefel steckten.",Langsam bewegte sich das Skelett durch das Gras.,"Er fuhr durch die Obere Augartenstraße, da sah er wieder eine."
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,391,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 273","Er täuschte sich nicht, das Plätschern wurde lauter.",Er kämpfte sich durch das Dickicht.,"Seine Hose zerriß an einem Dornenstrauch, der auch seine Hände und Arme nicht verschonte."
schlängeln,Motion,Motion.Theme,NA,Motion.Path,manner,x,1,394,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 379",Er wollte nicht direkt bestrahlt werden.,"Bald schlängelten sich so viele Kabel durch die Wiese und über den Betonboden, daß er alle paar Meter strauchelte.",Zumal es allmählich dunkel wurde.
arbeiten,Work,Work.Agent,Motion.Theme,Motion.Path+Work.Salient_entity,means,b,5,395,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 381","Er war in der Brigittenauer Lände gesessen, wo er erst kurz zuvor eingezogen war.","Er arbeitete sich durch ein kompliziertes Kreuzworträtsel, hatte ein Bier aufgemacht und sich auf einen beschaulichen Abend eingestellt, als das Telefon läutete.","Sein Vater sagte in einer Klarheit, die für ihn ungewöhnlich war:"
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,397,38718,Belletristik,"Krausser, Helmut: Eros, Köln: DuMont 2006, S. 8",Die Lichter aus den Fenstern der umliegenden Häuser schienen mich zu betrachten.,"Der Wagen legte kaum zweihundert Meter in der Minute zurück, kämpfte sich vorwärts durch die Schneemassen, bog von der Landstraße ab in eine von wenigen Laternen beleuchtete Allee.","Ich sah über die rechte Schulter des Fahrers nach vorne, in Erwartung des Schlosses."
arbeiten,Work,Work.Agent,Motion.Theme,Motion.Path+Work.Salient_entity,means,b,5,413,38718,Belletristik,"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 31","Am dritten Tag setzte Kapitän Brits die Suchmannschaft Retiefs bei der neuen Basis mit der Order aus, von dort der Küste entlang in Richtung der alten Hütten zugehen und eine Stelle näher zu erkunden, über der man Skuas kreisen gesehen hatte.","Sie arbeitete sich durch schulterhohes Dickicht; die Männer waren angeseilt, da sich unter dem Moosbewuchs tiefe Felsspalten verbargen; im stellenweise dichten Nebel hätte man sich ohne Kompaß leicht verirrt.",Wieder verlief die Suche ergebnislos.
kämpfen,Hostile_encounter,Hostile_encounter.Side_1,Motion.Theme,Motion.Path,incidental,a,7,415,38718,Belletristik,"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 161","Der Strauch ist das einzige Gewächs hier, das sich als Brennholz eignet; er wächst äußerst üppig, schlägt überall Wurzeln und setzt sich an den hohen, perpendikulären Felswänden fest und bildet ein dichtes grünes Kleid, das in dem dauernden Regen fast schwarz wird, dunkel wie die diversen Moose und Flechten auf der brüchigen Lava, die beim geringsten Schritt ins Rollen kommt.","Ich kämpfte mich durch dieses Unterholz, hielt mich an den Stämmen, Asten und Wurzeln fest, weil ich hinauf zum Gipfel wollte, der wie jeden Tag in den Wolken lag; wie dick die Schicht war, ließ sich nicht sagen – vielleicht schien oben die Sonne.","Ich schaffte es bis auf über tausend Fuß Höhe, obwohl ich mehrmals abzustürzen drohte, und wäre beinahe an meinem Ziel angelangt, als das Zwielicht, das hier weniger als eine halbe Stunde dauert, über mich hereinbrach und ein horribler Überhang mir den Weg versperrte."
zwängen,Manipulation,Manipulation.Agent,Motion.Theme+Manipulation.Entity,Motion.Path,means,a,6,420,38718,Belletristik,"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 326",Als würde ich größer.,"All die spielerische Leichtigkeit dieses Tages war mit einem Mal verloren, ich zwängte mich durch das Gedränge, sah nur wenige meinen Blick erwidern.","Der Wind trieb leere Plastikbecher über den Weg, denen ich einen Stoß gab, und es war, als hätte ich vergessen, was ich in dieser Stadt gesucht hatte; wen."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Path,manner,b,1,424,38718,Belletristik,"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 458","Doch wohin ich auch blickte, ich sah nirgends Marah, obwohl ich dachte, sie müsse jeden Moment aus ihrem Haus treten; und wieder und wieder musterte ich die Gesichter unter ihren weißen Hauben, als spielte mir auch hier meine Einbildung einen Streich in diesen ersten Minuten des Wiedersehens.","Dann drängte sich Joshua Rogers durch die Umstehenden, stellte sich vor mich und streckte mir steif seinen Arm hin; erst in diesem Moment wurde mir bewußt, daß all die anderen Männer fehlten.","Ich feierte die Messe, zum Gedenken an die Verschollenen."
reiben,Cause_bodily_experience,Cause_bodily_experience.Agent,Motion.Theme,Motion.Path,incidental,c,7,430,38718,Belletristik,"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 695","Seine Arme schlossen sich um meine Brust und drückten mich fester an ihn, dann legte er eine Hand auf meine Schulter und drehte mich auf den Rücken.","Er legte sich auf mich, preßte seine Erektion gegen meinen Bauch und dann auf mein Schambein, rieb sich an mir durch mein Kleid.","Ich fühlte mich gefangen, unfähig mich zu bewegen; das Licht fiel matt durch den Spalt im Vorhang, und ich sah nur seine Silhouette gegen den Raum, nicht aber sein Gesicht, eine dunkle Gestalt über mir, die mich in das Leintuch preßte, mir Angst machte, obwohl sie sich nur zu meinem Nacken beugte und ihn küßte."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,4,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 111",Ich nahm sie ihr ab und stellte sie auf den Schreibtisch.,Sie stieß sich vom Schreibtisch ab und drängte sich gegen mich.,Sie küßte mich.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,9,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 186",Ich küßte ihre Schulter und ihren Hals.,Sie drückte sich gegen mich.,Alles würde gut werden.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,10,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 220","Manchmal hielt ich es nicht mehr aus, und dann ging ich ins Bad und onanierte.","Einmal, als wir abends im Bett lagen und ich an der Art, wie sie atmete, hörte, daß sie noch nicht eingeschlafen war, schmiegte ich mich an sie, an ihren Rücken, und legte einen Arm um sie und drückte mich gegen sie.","Ich war hart, das mußte sie spüren."
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,15,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 105","Paul schloß seine Augen und riß sie auf, und es kitzelte in seinen Zehen, und in seinem Bauch spannte sich etwas an und zerplatzte, und er klammerte sich an Matratze und Eisenrahmen, bis Annas Wange seine Wange streifte und seine verschwitzte Stirn und Paul sein Gesicht in Annas Haar verbarg.","Anna atmete an seiner Seite, »mein Wildpferd«, und Paul saugte an Annas Lippen und schleckte Annas weiche Brust ab und stieg vom Bett und steckte seine Nase in Annas Hintern, der ein warmer, weißer und nasser Mond war, und Annas Hintern preßte sich gegen sein Gesicht, und sie wand sich, und es schauderte sie, und in Annas Poloch schmeckte es bitter und herb, und er raste mit seinem Gesicht vom engen schwarzen Loch zu Annas behaarter Schnecke (oder Annas Schnabeltier mit winzigem, rotem Schnabel), wo es heiß war und roch, als rieche man an einem Waldboden oder an Sauerkraut oder verklebten und staubigen Karamellen, und er schleckerte sie aus, als sei sie ein Honigfaß, und Annas Finger verknoteten sich, und Annas Gesicht, das sie im Kissen versteckte, war von Schweiß bedeckt, und Pauls Specht erwachte aus seinem Viertelstundenschlaf und pochte bei Anna an, und es riß sie hoch, als er in sie drang.","Annas Geschlecht melkte Pauls Geschlecht, und er faßte in Annas Haare und packte Annas Arme, und sie heulten zusammen, als seien sie ein Wolfsrudel."
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,19,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 193","Er klemmte in seiner Kirchenbank zwischen zwei dicken Damen, und es half nichts, sich schmaler zu machen, sie breiteten sich um so boshafter aus.","Fleisch- und Fettpolster preßten sich gegen Pauls Arme und Beine, ganz zu schweigen vom Hut seiner Banknachbarin, der hart an Pauls Brauen stieß und seine Sicht zur Empore versperrte.",Umsonst teilte er kleine Ellbogenhiebe aus.
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,neutral,x,1,20,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 194",Wortlos erkletterten sie einen Berg.,"Sein Buckel war kahl und an einer Seite schoben sich Felsen, bizarr und schwarz, gegen nachtblauen Himmel und Mond.",»Sind sie nicht komisch?«
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,a,1,52,36552,Zeitung,"Die Zeit, 27.01.2000, Nr. 5",Immerhin gelangte er 1947 ins Parlament.,"Und er warf sich gegen den Antisemitismus, der sich in Ungarn, von den Stalinisten geduldet, aufs Neue regte, mit seiner Wochenzeitung Fortschritt energisch ins Zeug.","In jenem Blatt erschien der Roman Neun Koffer in Fortsetzungen, die er nach dem Abdruck von zwei Kapiteln des zweiten Teiles nicht weiterführte, obschon er für den Herbst 1947 die Publikation in Buchform angekündigt hatte."
vorwagen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,57,36559,Zeitung,"Die Zeit, 03.02.2000, Nr. 6","Was sie will, ist nicht mehr klar.","Seit es nicht mehr allzu riskant ist, wagen sich auch andere aus der jüngeren CDU-Generation gegen den Altkanzler vor.",Merkel lässt sie über drakonische Maßnahmen gegen Kohl schwadronieren.
wiegen,Cause_to_move_in_place,Cause_to_move_in_place.Agent,Cause_to_move_in_pace.Theme,Motion.Goal,manner,x,3,227,36892,Belletristik,"Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 14","Hielt sie mit beiden Händen, drang wieder in sie ein, und sofort entspannte sie sich, langsam sackte ihre Wirbelsäule ins Hohlkreuz, und ihr Steiß stieß gegen seinen Bauch, bis er ganz in ihr war.",Sie wiegte sich gegen ihn.,»Fester!«
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,a,1,232,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 169","Nicht weit von hier war eine Kirche, sie konnte den Kirchturm sehen.","Sie rannte, bis sie die Kirche erreicht hatte, stolperte die Steinstufen hinauf und warf sich gegen die Tür.","In der Kirche war es dunkel, ein Priester stand am Altar und predigte, in den ersten Bänken saßen Gottesdienstbesucher."
stemmen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,234,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 269","Die schönsten Haare der Familie, nicht weißblond, nicht flachsblond und nicht rötlich, eine Farbe wie Gold.",Malka stemmte sich mit aller Kraft gegen die Stufen.,"Erst als Schwester Rosa sich umdrehte und sie ins Gesicht schlug, einmal, zweimal, gab Malka auf."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,244,37257,Belletristik,"Kuckart, Judith: Lenas Liebe, Köln: DuMont Literatur und Kunst Verlag 2002, S. 7",Lena schaut Richtung Bahnhof.,Hoch über den Gleisen drücken sich Kinder gegen das Brückengeländer und sehen am Sonntag den Zügen nach.,Auf der anderen Seite der Brücke liegt das Dorf Brzezinka.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,246,37257,Belletristik,"Kuckart, Judith: Lenas Liebe, Köln: DuMont Literatur und Kunst Verlag 2002, S. 33","»Mein Bekannter«, sagte sie.",Sie drückte sich mit geradem Rücken gegen die speckige Sessellehne.,Sie sah glücklicher aus als eine halbe Minute zuvor.
stemmen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,263,37257,Wissenschaft,"Schlögel, Karl: Petersburg, München Wien: Carl Hanser Verlag 2002, S. 516","›Stirb, meine Seele, zusammen mit den Philistern...‹","Und er stemmte sich gegen die Säulen, die die Bühne hielten mit all den Tausenden, die gekommen waren, um ihn zu begaffen, und er sagte: ›Stirb, meine Seele, mit all denen zusammen .. .‹",Und sie starben unter einem Hagel von Steinen unter den Ruinen. «
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,276,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 351","Staubfinger stieß einen unterdrückten Fluch aus, lauschte einen Moment in die Nacht – und ahmte den schrillen Schrei eines Raubvogels nach.",Farid zuckte zusammen und presste sich gegen die Hausmauer.,Diesmal regte sich oben hinter dem Fenster etwas.
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,277,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 354",Über ihnen knarrte ein Fensterladen.,Staubfinger presste sich gegen die Gitterstäbe.,"Nur der Wind, dachte er zunächst, nichts als der Wind."
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,296,37987,Belletristik,"Widmer, Urs: Das Buch des Vaters, Zürich: Diogenes 2004, S. 126","Neben dem Vater stand das Kind, schmolz ebenfalls und schaute wie er, allerdings – ich war klein – nicht durchs Fenster, sondern auf die Rohre der Zentralheizung.","Ich preßte mich gegen sie und schob die rechte Hand in die linke des Vaters, der sie drückte, ohne den Blick vom Fenster abzuwenden.","– Der Schnee fegte über die Ebene, als fliehe er, schlug Haken, stieg in Säulen nach oben, kam in dicken Packen herab und prallte auf den Acker. –"
wälzen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,x,1,308,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 380","Ein kaiserliches Lazarett ist in die Nähe Ludwigsburgs verlegt worden, und in einem Nachbarort waren, als vermutliche Folge davon, Krankheiten ausgebrochen.","Eine seuchenschwangere Lazarettwolke wälzt sich gegen Schwaben her, schreibt Schiller am 7. März 1794 an Dr. Gmelin, und ich muß mich hüten, daß der Blitz nicht in meine baufällige Hütte schlägt.",Überstürzt plant er die Abreise binnen weniger Tage.
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,318,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 149","Kein Massaker, in meinem Land kein Massaker! «",Jarven presste sich fest gegen die Wand.,"Langsam wich das Blut aus ihrem Gesicht und sie spürte, wie ihr schwindlig wurde."
stemmen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,322,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 366",Die Stille war unerträglich.,"Die Zeit verstrich so langsam, als stemme sich jemand gegen die Zeiger der Uhren.","»Es muss doch längst vorbei sein!«, flüsterte Jarven."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,323,38353,Belletristik,"Genazino, Wilhelm: Die Liebesblödigkeit, München, Wien: Carl Hanser Verlag 2005, S. 154",Ich gedenke seines untergegangenen Übermuts und blicke dabei stumm und von hinten auf seinen reglosen Rücken.,"Es beginnt fast zärtlich zu tröpfeln, ich drücke mich dichter gegen die Hauswände.",Im Schutz einer überdachten Straßenbahnhaltestelle sitzt eine Frau auf einer Plastikbank und schimpft vor sich hin.
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,x,1,327,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 42","»Tausendzweihundert«, wiederholte ich und versuchte zu lächeln.","»Ahhch«, stöhnte Steen und warf sich gegen die Lehne.","Er musterte mich, was ihm offenbar Vergnügen bereitete."
stoßen,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,neutral,x,1,334,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 618","Fred sagte nur, ihm tue es leid, daß er den Wehrdienst verweigert habe.","Denn jetzt sei keine Zeit mehr, ein Studium nachzuholen, und der Kopp, er stieß sich mit der Faust gegen die Stirn, »is ooch nüscht mer gewohnt«.","Jetzt seien sie wirklich -pardon, aber es gebe nun mal kein anderes Wort dafür – die Angeschissenen."
stemmen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,335,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 740","Pentheus reißt sich die Frauenkleider vom Leib, er fleht zu seiner Mutter, ich bin es, dein Pentheus, dein Sohn, du selbst hast mich geboren, erbarme dich, Mutter, töte mich nicht, weil ich Schuld auf mich lud, ich bin doch dein Kind!","Agaue aber, seine Mutter, packt die rechte Hand, stemmt sich mit dem Fuß gegen seinen Körper und reißt die Schulter heraus ...",Nach dem Gemetzel fällt Pentheus' Kopf in die Hände seiner Mutter.
stemmen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,345,38718,Belletristik,"Glavinic, Thomas: Die Arbeit der Nacht, München Wien: Carl Hanser Verlag 2006, S. 343",Was ist los? «,"Er stemmte sich mit beiden Unterarmen gegen das Hindernis über ihm, doch es bewegte sich nicht.",Ein Sarg.
